Unnamed: 0	toxic_sentence	neutral_sentence	lang	toxic_fluency	content_score	toxic_pairwise_score	neutral_fluency	fluency_score
4226	መሰላቸት ሰው ነው ፡፡ አሰልቺ ስለሆንክ ብቻ አንድ ነገር መጣል አንድ ነገር ማድነቅ እንደማትችል ያሳያል . አሰልቺ ስለሆኑ ቢያንስ አንድ ነገር መጣል ሲፈል	ሰው ነው ፡፡ ማንኛውም ዓለም የሆኖ አይወቅትም ፦ አንድ የመጣል ነገርና አንድ ማድነቅ ምንም መብት ለመወቅቅ ይሸጣል.	am	1.0	0	1.0	0.5	0
4230	2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።	መሀይምነት ማገናዘብ የከምት እንስሳ ነው	am	1.0	0	0.8333333333333334	0.5	0
4234	አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ	እሷን ፈጣሪችዎን ክፉን ገላገል ተሸቅቧል? እሷን እንደገና ለማስፋፋት እኛን የአበንክ መሸነፍ እንደገና መሆን አለብን?	am	1.0	0	0.6666666666666666	0.0	0
4242	መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ	ቶሳሁየድ አዋዊ፡ ሰየልታል መጥቻትሙኝ፣ እፋወየበሊሙስ::	am	1.0	0	1.0	0.0	0
4244	ምንም ግራ የሚያጋባ ነገር የለም። እንደዚህ አይነት ውዥንብር ለመፍጠር የሚሞክሩት እንደአብርሃም ደስታ አይነት የዱሮውን ስርዓት ናፋቂዎች ናቸው ??	ምንም እቲን አዲስ እንድግራ ያጋባ ነው። እዚሁ አገር ድሆን ኃይለማርያምን አባለላት መዋሥራት እናደርጋቸዋለን።	am	1.0	1	1.0	0.0	0
4247	እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።	እውነት ነው ትራቢናን ባቱ ባምራም ቅል በበታችነት የሚሰቃይ ቆዳሆን ነበር።	am	1.0	1	0.8333333333333334	0.5	0
4256	ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።	ወቅቱን እረጋለ፤ ወቅቱን በበኩበኩና መንገድ እንደደወለዋት ስሙላና ለሚለስ መረጃ ሊያገኝ ብቻ እናውናል።	am	1.0	0	0.8333333333333334	0.0	0
4262	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ	am	1.0	1	0.5	1.0	1
4269	ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????	ውድድ ነብክ ይጥት አኢስታትኛን?	am	1.0	0	0.5	0.0	0
4280	ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ	ያሳደወለች አይከለከልም። አጭርህን ጥሩትና ሙሊስ አጽዋሀለሁ። ካፌሃኒህን ከመደሰት በፊት ለመወቅህ ተወጊሄል።	am	0.5	0	1.0	0.0	0
4291	እንደዚያ በለው ያው ማን እንደሚቀበርበት አይታወቅም ለማለት ነው	እንደዚያ በለው ያው ማን እንደሚቀበርበት አይታወቅም ለማለት ነው	am	1.0	1	0.5	1.0	1
4292	የታደለችዉማ ይሄን አረመኔ ዘረኛ ልጇን አሁን በለማየቷ ነወ።	ይሄን አረመኔ ልጇን አሁን በለማየቷ ነወ።	am	1.0	1	0.6666666666666666	1.0	1
4302	እኔን ወይም ጓደኛዬን አትናገር አሁን ደደብ ደህና ሁን :	እኔን በዚህ ግንኙነት አብረከኝ።	am	1.0	1	1.0	0.5	0
4322	አለሌ ሸሌ ነሽ ባክሽ እውቀት ኖሮሽ አይደለም እምታወሪው ብትጠየቂ እምትመልሽው መልስ የለሽም አፋሽ ይህንን ያክል ክፍትና ግም ከሆነ እ	እውቀት ኖሮሽ አይደለም እምታወሪው እስከሆነ መልስ አፋሽ ይህንን ያክል ክፍትና ግም ብወት ረሳሁን.	am	1.0	1	1.0	1.0	1
4331	ትገርማላችሁ። ችግራችን እኮ ክፉ እናንተ በላይ ብልጥ ያለ ሰለማይመሳልችሁ ነው። ያ ደደብ ያልከው በቂጥህ ብሁለት ሳምንት ዘጭ አደረገህ።	ትገርማላችሁ። ችግራችን እኮ ክፉ እናንተ በላይ ብልጥ ያለ ሰለማይመሳልችሁ ነው። ያ ደደብ ያልከው በቂጥህ ብሁለት ሳምንት ዘጭ አደረገህ።	am	1.0	1	0.3333333333333333	1.0	1
4333	ብትልም መብቷ ነው:: የኦነግ ደጋፊም ብትሆ እንዲያው:: እንዳንተ ደንቆሮ መሆን ግን መብት አይደለም::ምርጫ ነው	እባክት መሐውኹ ነን፣ በአውቶ መስጠት እንያደርጉ፣ እቲ ሰአት መምሓሪ አልተደለም።	am	1.0	0	1.0	0.0	0
4336	ማን ደደብና low IQ እንደሆነ ኮመንታችንን አይቶ ህዝብ ይፍረደን። አንተ በጣም የተማርክ ምሁር አይደለህ  አይ ሽብሩ ዲጅታል ወያኔ	ማን ደደብና ፖለቲከኛ እንደሆነ ኮመንታችንን አይቶ ህዝብ ይፍረደን። አንተ በጣም የተማርክ ምሁር አይደለህ ባንዳንድ ደጅ ወያኔ	am	1.0	1	1.0	1.0	1
4340	በፍፁም እንደ አንዳርጋቸው ያሉ ህይወታቸውን ለወገናቸው መብት በቀጥታም ሆነ በተዘዋዋሪ የሰዉ ጀግኖችን የሚያንጓጥጡትንም ከነዚሁ ቦምብ ጠፍጣፊዎች ለይቼ አላይም።	በፍፁም እንደ አንዳርጋቸው ያሉ ህይወታቸውን ለወገናቸው መብት በቀጥታም ሆነ በተዘዋዋሪ የሰዉ ጀግኖችን የሚያንጓጥጡትንም ከነዚሁ ቦምብ ጠፍጣፊዎች ለይቼ አላይም።	am	1.0	1	0.6666666666666666	1.0	1
4346	ክፍት አፍ። ሐበሻ ላይ የለመድከውን ሌላው ላይ የሚሰራ መሰለህ? ጅል አታሰድበን አቦ	ለመድከውን ሐምሌ የመተለላ መስዋህ? ጅል ተለውጥልን አቦ	am	1.0	0	1.0	0.0	0
4349	አሁን ዶ/ር መረራ አራት ኪሎ መግባት እንጂ ስድስት ኪሎ አይፈልግም:: ስድስት ኪሎ ግባ? ጋራባሳ ሂድ	ረቡዕ መረራ አራት ኪሎ መግባት እንዲገባቸው:: ኪሎ ግባ? ጋራባሳ ሂድ	am	1.0	1	0.6666666666666666	0.0	0
4354	እውነትሽን ነው እኔ እኮ ኬፕታውን መስሎኛል . ጅል	እውነትሽን ነኝ እኔ እኮ ኬፕታውን መስሎኛል . ጅል	am	1.0	1	0.5	1.0	1
4358	ይህን ጨቅላ ፕሬዚደንት ተብዬ አስታግሰው የሰው መሀይም ኢትዮጵያ በልጆቿ ታፍራ እና ተከብራ ለዘላለም ትኑር	በልጆቿ ታፍራ.	am	1.0	0	1.0	1.0	1
4366	አንተ ራስህ ምርጥ ዘረኛ አይደለህ እንዴ። የአንባቸው ጊዜ የጻፈችውን ማን የሚረሳው መሰለህ	አንተ ራስህ ምርጥ አይደለህ እንዴ። የአንባቸው ጊዜ የጻፈችውን ማን መሰለህ	am	1.0	1	0.8333333333333334	1.0	1
4376	ተምረህ እንዲ የደደብክ ባትማር ምን ትል ይሆን ነበር??? አለቅላቂ	ተምረህ እንዲህ የደደብክ ባትማር ምን ትል ይሆን ነበር???	am	1.0	1	0.6666666666666666	1.0	1
4383	ጁንታ ስትሆን አይመችህም። ደነዝ 27 አመት የት ነበርክ።	ጁንታ ስትሆን አይመችህም። ሲረበሽ 27 አመት የት ነበርክ።	am	1.0	1	0.5	1.0	1
4386	እስከ መቼ ነው ብሎ ያዘገጁት ላይ Abiy ልከስት ነው ኣሉ። ልዩ የክብር እንግዳ .	አትፍለግንም ወይም ይከብር ብሉ? ኬንጆችን እንዲያካብብ ወዲህ ኮኔንህ ወደዚህ ነበር።	am	0.5	0	0.3333333333333333	0.0	0
4388	ኣዎ ኣሁንም ከናንተ ድጋፍ ኣይፈልግም። ድጋፍ ለሚሰጡ ብቻ መንገዱን ክፈቱ በይ ከቻልስ ካልሆነ ዝም በይ። ስትፈልጊ ሚታስሪቢው ስትፈልጊ ምታበይው ህዝብ ኣይደ	ኣዎ ኣሁንም ከናንተ አይጠይቃለሁ። ነገሩን እርጉዝ አልሰጥም። እጅግ ማዳን ነው፦ የዚያ ማዳን ማንም አልያዙም።	am	0.5	1	0.6666666666666666	0.5	1
4403	ያንተ አይነት ጅል አይቼም አላውቅም። በቦንብ ላጠፋቹ እችላለው እያለ የኛ ህውብ ስላለ ብቻ ሌላ ትርጉም ልትሰጠው ነው?	ያንተ ጅል አይቼም ፣ በቦንብ ላጠፋቹ እችላለው አያውቁም። እያለ የኛ ህውብ ስላለ ብቻ ሌላ ትርጉም ልትሰጠው ነው?	am	1.0	1	0.5	0.5	0
4407	ከብዙ ኡኡታ በኋላ የመተከል ችግር ከስሩ ሊቀረፍ የተቃረበ ይመስላል ከጅምሩ በእልቂቱ የአመራሮች እጅ አለበት እያሉ ከሞት የተረፉ ተጠቂዎች በግልጽ እየተናገሩ በተደጋጋሚ ጭፍጨፋው እ	ከብዙ ዅኡታ በኋላ የመተከል ችግር ከስሩ ሊቀረፍ የተቃረበ ይመስላል ከጅምሩ በእልቂቱ የአመራሮች እጅ አለበት እያሉ ከሞት የተረፉ ተጠቂዎች በግልጽ እየተናገሩ በተደጋጋሚ ጭፍጨፋው እ	am	1.0	1	0.8333333333333334	0.0	0
4414	ጀግኖች ናቸው፣ ይሄ ጉድ እዚህ አገር ነው ብለው ነው። የሰይጣን ስራ ይገርማል እያሉ ነው።	ፈጣሪች ናቸው፣ ይሄ እዚህ ቡላ ነው ብለው ነው። ሲስራችን ሙባሕ እንዲያጠረቅ ነው።	am	1.0	0	0.8333333333333334	0.0	0
4415	ለአለም አቀፍ ለሚያቶሰትሰው የኢትዮጵያ ከሀዲ መልስ ይሁንለት	ለብዙ ሰዎች የኢትዮጵያ ከሀዲ መልስ ይሁንለት	am	1.0	0	1.0	1.0	1
